"","AF","PY","TC"
"3730","STRATIGOS, AJ;ANTONIOU, C;KATSAMBAS, AD",2002,47
"3731","DRIESSEN, M;DILLING, H",1997,5
"3732","FIDELER, F.",2022,0
"3733","HIEBL, MARTIN R. W.;FELDBAUER-DURSTMUELLER, BIRGIT",2014,15
"3734","AZMANOV, HENNY;BAYATRA, AREEJ;ILAN, YARON",2022,2
"3735","CHEN, GANG;CHEN, ZIDONG;LIANG, JIUQING",2007,10
"3736","PLUGGE, STEPHAN;LANTAGNE-HURTUBISE, ETIENNE;FRANZ, MARCEL",2020,22
"3737","VITALI, MARIO;SORBO, FRANCESCA;MISTRETTA, MARTINO;CORIALE, GIOVANNA;MESSINA, MARISA PATRIZIA;ALESSANDRINI, GIOVANNI;ATTILIA, FABIO;ROTONDO, CLAUDIA;GENCARELLI, SIMONA;LEDDA, ROBERTA;GALLI, DOMENICA;CECCANTI, MAURO",2018,12
"3738","COPE, THOMAS EDMUND;WEIL, RIMONA SHARON;DUEZEL, EMRAH;DICKERSON, BRADFORD C.;ROWE, JAMES BENEDICT",2021,4
"3739","MIRZA, N;SCHWARTZ, SK;ANTIN-OZERKIS, D",2004,36
"3740","HAYASHIGAKI, A;KANAZAWA, Y;KOIKE, Y",1997,88
"3741","BLOCK, MATTHEW S.;MELKO, ROGER G.;KAUL, RIBHU K.",2013,80
"3742","LEE, CHEE YAN;NGAI, JOE TSZ KIN;CHAU, KATHY KA YING;YU, ROSE WAI MAN;WONG, PAUL WAI CHING",2022,0
"3743","MULLIN, W. J.;LALOE, F.",2012,3
"3744","BEENAKKER, C. W. J.;DAHLHAUS, J. P.;WIMMER, M.;AKHMEROV, A. R.",2011,37
"3745","ZANARDI, P",1998,110
"3746","APELL, SP;SABIN, JR;TRICKEY, SB",1997,6
"3747","HARTMANN, L.;DUER, W.;BRIEGEL, H. -J.",2006,67
"3748","KOBAYASHI, LEO;DUNBAR-VIVEIROS, JENNIFER A.;SHEAHAN, BETHANY A.;REZENDES, MEGAN H.;DEVINE, JEFFREY;COOPER, MARY R.;MARTIN, PEGGY B.;JAY, GREGORY D.",2010,13
"3749","STEINBRINK, J;KEMPF, FCD;VILLRINGER, A;OBRIG, H",2005,70
"3750","PONCY, BRIAN C.;SOLOMON, BENJAMIN;DUHON, GARY;SKINNER, CHRISTOPHER;MOORE, KATHRYN;SIMONS, SEAN",2015,16
"3751","XIAOWEN, MAO;LINGXI, CHENG;SONG, LIN;SHENGBAO, PAN;XIAOHONG, YANG;XINGHAI, YANG",2021,3
"3752","PROCTOR, IAN;SHARMA, VIJAY;KHOSHZABAN, MOHAMMAD;WINSTANLEY, ALISON",2012,3
"3753","BICKELHAUPT, F;DE WOLF, WH",1998,22
"3754","BIRGAND, GABRIEL;LEROY, CHRISTOPHE;NEROME, SIMONE;LIEM BINH LUONG NGUYEN;LOLOM, ISABELLE;ARMAND-LEFEVRE, LAURENCE;CIOTTI, CELINE;LECORRE, BERTRAND;MARCADE, GERALDINE;FIHMAN, VINCENT;NICOLAS-CHANOINE, MARIE-HELENE;PELAT, CAMILLE;PEROZZIELLO, ANNE;FANTIN, BRUNO;YAZDANPANAH, YAZDAN;RICARD, JEAN-DAMIEN;LUCET, JEAN-CHRISTOPHE",2016,22
"3755","COLON-RAMOS, URIYOAN;LINDSAY, ANA C.;MONGE-ROJAS, RAFAEL;GREANEY, MARY L.;CAMPOS, HANNIA;PETERSON, KAREN E.",2007,21
"3756","BALES, STEPHEN;SARE, LAURA;COKER, CATHERINE;VANDUINKERKEN, WYOMA",2011,4
"3757","ARNSTEIN, P",2006,1
"3758","CHEN, CHENG;SILL, RUDRA",2007,14
"3759","MICHELSEN, H;ABRAMOVICI, L;STEINER, G;POSNER, MA",2004,49
"3760","PATTEN, SB;WILLIAMS, JVA;LOVE, EJ",1996,17
"3761","SCHOLL, EVA MARIA;NOPP-MAYR, URSULA",2021,0
"3762","PTASZEK, LEON M.;KIM, KIBEOM;SPOONER, AMY E.;MACGILLIVRAY, THOMAS E.;CAMBRIA, RICHARD P.;LINDSAY, MARK E.;ISSELBACHER, ERIC M.",2015,4
"3763","SOHLO, SAULI;NATI, SATU",2020,3
"3764","CLAESSEN, MICHIEL H. G.;VISSER-MEILY, JOHANNA M. A.;MEILINGER, TOBIAS;POSTMA, ALBERT;DE ROOIJ, NICOLIEN K.;VAN DER HAM, INEKE J. M.",2017,11
"3765","FONOCHO, ERNEST;AYDIN, NAIL;REDDY, SRINI;MISRA, SUBHASIS",2017,2
"3766","SURAN, JANTRA NGOSUWAN;WYRE, NICOLE RENE",2013,5
"3767","STEMBERGER, R.;KELLANI, M.;JOVANOVIC-MIFSUD, T.;FIALKA-MOSER, V.;CREVENNA, R.",2009,0
"3768","FERNANDEZ, N.;DEL HOYO BARBOLLA, E.;RAMIREZ, C.;DE LAS HERAS, R.;ARREDONDO, M. T.",2005,0
"3769","LIU, AUSTIN;CARRUTHERS, ALASTAIR;COHEN, JOEL L.;COLEMAN, WILLIAM P., III;DOVER, JEFFREY S.;HANKE, C. WILLIAM;MOY, RONALD L.;OZOG, DAVID M.",2012,18
"3770","STEEN, SANNA;HYSEK, MARTIN;ZEDENIUS, JAN;FALHAMMAR, HENRIK;JUHLIN, CARL CHRISTOFER",2022,1
"3771","SIAU, RICHARD T. K.;MOORE, ANDREW;AHMED, TIMOTHY;LEE, MICHAEL S. W.;TOSTEVIN, PHILIPPA",2013,17
"3772","ROBERTS, REBECCA J.;WELLS, ANTONIO C.;UNITT, ESTHER;GRIFFITHS, MERYL;TASKER, ANGELA D.;ALLISON, MICHAEL E. D.;BRADLEY, J. ANDREW;WATSON, CHRISTOPHER J. E.",2007,21
"3773","MOULLA, YUSEF;PETERSEN, TIM-OLE;MAIWALD, BETTINA;BAILIS, NIKOLAOS;KREUSER, NICOLE;LORDICK, FLORIAN;SEEHOFER, DANIEL;SUCHER, ROBERT;HECKER, MARTIN;HOFFMEISTER, ALBRECHT;JANSEN-WINKELN, BORIS;GOCKEL, INES",2020,0
"3774","ROBAEI, DANA;CHAN, U-TENG;KHOO, PAULINE;CHEREPANOFF, SVETLANA;LI, YI-CHIAO;HANRAHAN, JANE;WATSON, STEPHANIE",2018,12
"3775","MORRISSEY, DAVID K.;BASSIOUNI, AHMED;PSALTIS, ALKIS J.;NAIDOO, YURESH;WORMALD, PETER-JOHN",2016,43
"3776","BEUSCH, PETER",2014,14
"3777","CAPLER, JENNIFER",2020,1
"3778","LAI, JONATHAN H.;LIMACHER, JAMES J.;RICHARDS, ROBERT N.",2014,2
"3779","PETERSON, JESS F.;SUKOV, WILLIAM R.;PITEL, BETH A.;SMOLEY, STEPHANIE A.;PEARCE, KATHRYN E.;MEYER, REID G.;WILLIAMSON, CYNTHIA M.;SMADBECK, JAMES B.;VASMATZIS, GEORGE;HOPPMAN, NICOLE L.;GREIPP, PATRICIA T.;BAUGHN, LINDA B.;KETTERLING, RHETT P.",2019,15
"3780","HABEKOST, T;ROSTRUP, E",2006,52
"3781","CHEN, PETER P. -Y.;NAGABABU, PENUMAKA;YU, STEVE S. -F.;CHAN, SUNNEY I.",2014,44
"3782","TOKUC, GUELNUER;BORAN, PERRAN;OKTEM, SEDAT",2009,3
"3783","SHALD, ELIZABETH A.;REEDER, JACOB;FINNICK, MICHAEL;PATEL, LSHANI;EVANS, KYLE;FABER, REBECCA K.;GILBERT, BRIAN W.",2020,3
"3784","ADIB, SASAN DARIUS;LESCAN, MARIO;RENOVANZ, MIRJAM;SCHUHMANN, MARTIN U.;TRAKOLIS, LEONIDAS;BONGERS, MALTE;TATAGIBA, MARCOS;DOEBELE, ALEXANDER;GROEZINGER, GERD",2020,2
"3785","JINDAL-SNAPE, DIVYA;JOHNSTON, BRIDGET;PRINGLE, JAN;KELLY, TIMOTHY B.;SCOTT, ROSALIND;GOLD, LIBBY;DEMPSEY, RAYMOND",2019,3
"3786","SUAREZ-BARRAZA, MANUEL F.;RAMIS-PUJOL, JUAN",2010,71
"3787","LYNCH, HT;WATSON, P;TARANTOLO, S;WIERNIK, PH;QUINN-LAQUER, B;BERGSAGEL, KI;HUIART, L;OLOPADE, OI;SOBEL, H;SANGER, W;HOGG, D;WEISENBURGER, D",2005,46
"3788","ABBONDANZO, SL;IREY, NS;FRIZZERA, G",1995,28
"3789","JORDAN, HW;LOCKERT, EW;JOHNSON-WARREN, M;CABELL, C;COOKE, T;GREER, W;HOWE, G",2006,20
"3790","ALIJANPOUR, SHAYAN;MOSTAFAZADEH-BORA, MOSTAFA;AHANGAR, ALIJAN AHMADI",2021,3
"3791","MELO, DAIANE SOUSA;DE OLIVEIRA, MARIANE HELEN;PERSEGUINO, MARCELO GEOVANE",2020,0
"3792","SELIK, RICHARD M.;MOKOTOFF, EVE D.;BRANSON, BERNARD;OWEN, S. MICHELE;WHITMORE, SUZANNE;HALL, H. IRENE",2014,141
"3793","HART, MICHAEL G.;NOWELL, MARK;COAKHAM, HUGH B.",2012,10
"3794","GINIGADDARA, BUDDHINI;PERERA, SRINATH;FENG, YINGBIN;RAHNAMAYIEZEKAVAT, PAYAM",2022,7
"3795","GACHAGO, DANIELA;LIVINGSTONE, CANDICE",2020,3
"3796","ABDULLGAFFAR, BADR;MANZLGI, MUNZER;SALEEM, NAEL",2019,3
"3797","ELNAVA, S.;MATOT, I.;BERKENSTADT, H.;BROMIKER, R.;WEINIGER, C. F.",2008,45
"3798","TRISOLINI, ROCCO;NATALI, FILIPPO;FERRARI, MARCO;LIVI, VANINA;PAIOLI, DANIELA;ROMAGNOLI, MICAELA;CANCELLIERI, ALESSANDRA",2018,7
"3799","CORNEA, VIRGILIUS;JAFFER, SHABNAM;BLEIWEISS, IRA J.;NAGI, CHANDANDEEP",2009,3
"3800","LEAN, JONATHAN;MOIZER, JONATHAN;NEWBERY, ROBERT",2014,17
"3801","IJALBA, ELIZABETH;BUSTOS, ALICIA;ROMERO, SAYUME",2020,0
"3802","PILLON, AGNESA;D'HONINCTHUN, PEGGY",2010,26
"3803","SAVASI, INGRID;LACY, JUDITH A.;GERSTLE, J. TED;STEPHENS, DEREK;KIVES, SARI;ALLEN, LISA",2009,45
"3804","FEKETE, MARTON;PIROSKA, MARTON;SZILY, MARCELL;ERDEI, MERCEDESZ;JOKKEL, ZSOFIA;SZABO, HELGA;LITTVAY, LEVENTE;BAFFY, GYORGY;TARNOKI, ADAM DOMONKOS;TARNOKI, DAVID LASZLO",2021,0
"3805","COHEN, ODED;TZELNICK, SHARON;GALITZ, YAEL SHAPIRA;SHOFFEL-HAVAKUK, HAGIT;HAIN, MOSHE;HALPERIN, DORON;LAHAV, YONATAN",2017,3
"3806","UNDABEITIA, JOSE;PENDLETON, COURTNEY;JALLO, GEORGE I.;QUINONES-HINOJOSA, ALFREDO",2011,3
"3807","ATWELL, THOMAS D.;CALLSTROM, MATTHEW R.;FARRELL, MICHAEL A.;SCHMIT, GRANT D.;WOODRUM, DAVID A.;LEIBOVICH, BRADLEY C.;CHOW, GEORGE K.;PATTERSON, DAVID E.;BLUTE, MICHAEL L.;CHARBONEAU, J. WILLIAM",2010,65
"3808","BROADDUS, RR;HERZOG, CE;HICKS, MJ",2003,50
"3809","OLANIRAN, SUNDAY OLAWALE;PERUMAL, JULIET",2021,0
"3810","BERGERAT, SEBASTIEN;ROZET, FRANCOIS;BARRET, ERIC;DA COSTA, JOSE BATISTA;CASTRO, ADALBERTO;DELL'OGLIO, PAOLO;GALIANO, MARC;INGELS, ALEXANDRE;SALAS, RAFAEL SANCHEZ;CATHELINEAU, XAVIER",2018,6
"3811","MAJAVA, JUKKA;LEVIAKANGAS, PEKKA;KINNUNEN, TUOMO;KESS, PEKKA;FOIT, DEL",2016,16
"3812","KEMP, STEVEN;COUGHLAN, ANTHONY K.;GOULDING, PETER J.;ABERCROMBIE, K.",2007,7
"3813","ALMEIDA DE SOUZA DOS SANTOS, ANA AUGUSTA;DALLAVALLE DE PADUA, SILVIA INES;JUNIOR, RONALDO BERNARDO;AREDES, EMERSON LIMA",2020,1
"3814","STOUT, BLAINE",2017,0
"3815","XU, DAMIN;LV, JICHENG;DONG, YUJUN;WANG, SUXIA;SU, TAO;ZHOU, FUDE;ZOU, WANZHONG;ZHAO, MINGHUI;ZHANG, HONG",2012,42
"3816","MAHAJAN, VINIT B.;ELKINS, KORI A.;RUSSELL, STEPHEN R.;BOLDT, H. CULVER;GEHRS, KAREN M.;WEINGEIST, THOMAS A.;STONE, EDWIN M.;ABRAMOFF, MICHAEL D.;LIU, DAWEI;FOLK, JAMES C.",2011,23
"3817","DIENER, HANS-CHRISTOPH;OBERMANN, MARK;HOLLE, DAGNY",2012,15
"3818","STRITZKE, SUSANN",2018,3
"3819","ZAIDI, HASAN A.;PENDLETON, COURTNEY;COHEN-GADOL, AARON A.;QUINONES-HINOJOSA, ALFREDO",2011,7
"3820","NOVEGNO, FEDERICA",2019,4
"3821","DICKSON, BRENDAN C.;ANTONESCU, CRISTINA R.;ARGYRIS, PROKOPIOS P.;BILODEAU, ELIZABETH A.;BULLOCK, MARTIN J.;FREEDMAN, PAUL D.;GNEPP, DOUGLAS R.;JORDAN, RICHARD C.;KOUTLAS, IOANNIS G.;LEE, CHENG-HAN;LEONG, IONA;MERZIANU, MIHAI;PURGINA, BIBIANNA M.;THOMPSON, LESTER D. R.;WEHRLI, BRET;WRIGHT, JOHN M.;SWANSON, DAVID;ZHANG, LEI;BISHOP, JUSTIN A.",2018,33
"3822","ROTMAN, L.;LUO, X.;THOMPSON, A.;MACKESY-AMITI, M. E.;YOUNG, L. R.;YOUNG, J. D.",2019,4
"3823","JAASKELAINEN, AKI;THITZ, OTTO",2018,10
"3824","GATALICA, Z;WANG, LQ;LUCIO, ET;MIETTINEN, M",1999,12
"3825","KISSOON, NARAYAN R.;GRAFF-RADFORD, JONATHAN;WATSON, JAMES C.;LAUGHLIN, RUPLE S.",2014,4
"3826","GUNER, MELIS KABAALIOGLU;FERENCHAK, KEVIN;OLSEN, TIMOTHY W.;DALVIN, LAUREN A.",2022,0
"3827","BOUVIER, J;DUCHENE, G;MERMILLIOD, JC;SIMON, T",2001,40
"3828","LAPRAIS, AURORE;OLIVRY, THIERRY",2017,11
"3829","ROSSER, B. R. SIMON;RIDER, G. NIC;KAPOOR, ADITYA;TALLEY, KRISTINE M. C.;HAGGART, RYAN;KOHLI, NIDHI;KONETY, BADRINATH R.;MITTELDORF, DARRYL;POLTER, ELIZABETH J.;ROSS, MICHAEL W.;WEST, WILLIAM;WHELDON, CHRISTOPHER;WRIGHT, MORGAN",2021,6
"3830","EVANS, IAN;MEYER, LUANNA;BUCKLEY, LAURA",2008,1
"3831","BASAZA, ROBERT K.;O'CONNELL, THOMAS S.;CHAPCAKOVA, IVANA",2013,17
"3832","ZIMMET, SV;STROUS, RD;BURGESS, ES;KOHNSTAMM, S;GREEN, AI",2000,117
"3833","HENDERSON, LUCY;FEHILY, CLAERE;FOLARANMI, SEMIU;KELSEY, ANNA;MCPARTLAND, JO;JAWAID, WAJID B.;CRAIGIE, ROSS;LOSTY, PAUL D.",2014,21
"3834","GIBREEL, WALEED;CHARAFEDDINE, ALI;CARLSEN, BRIAN T.;MORAN, STEVEN L.;BAKRI, KARIM",2018,1
"3835","PLECKO, MIHOVIL;MAHNIK, ALAN;DIMNJAKOVIC, DAMJAN;BOJANIC, IVAN",2021,0
"3836","HASSETT, MELANIE E.;REYNOLDS, NOELIA-SARAH;SANDBERG, BIRGITTA",2018,15
"3837","DODD, BARBARA",2021,2
"3838","ANGIONE, CLAUDIO",2019,26
"3839","THOMPSON, ASHLEY;PARENT, MILENA M.",2021,9
"3840","SONG, QIAN;LIANG, ZAI",2019,2
"3841","CALLANDER, STEVEN;CLARK, TOM S.",2017,12
"3842","CAVALLO, ANGELO;GHEZZI, ANTONIO;RUALES GUZMAN, BERTHA VIVIANA",2020,16
"3843","BYERS, TERRY;LEIGHTON, VICKY;LEGGETT, JACK;KRZENSK, ALEX;ADAMSON, REBECCA;POLLOCK, CHRISTOPHER;MACMAHON, STEPHANIE",2022,0
"3844","SOLBERG, LEIF I.;GLASGOW, RUSSELL E.;UNUETZER, JUERGEN;JAECKELS, NANCY;OFTEDAHL, GARY;BECK, ARNE;MACIOSEK, MICHAEL V.;CRAIN, A. LAUREN",2010,51
"3845","BRUNCLIK, MILOS",2015,6
"3846","RANGELOV, A. A.;VITANOV, N. V.",2012,34
"3847","JEN, JOANNA C.;ASHIZAWA, TETSUO;GRIGGS, ROBERT C.;WATERS, MICHAEL F.",2016,7
"3848","BLOCK, MATTHEW S.;KAUL, RIBHU K.",2012,4
"3849","HARALDSEN, JASON T.",2016,7
"3850","HERTEL, IV;HUGLIN, C;NITSCH, C;SCHULZ, CP",1991,243
"3851","ABRAHAM, ANNA",2019,8
"3852","MCELREAVEY, K;FELLOUS, M",1999,60
"3853","WANG, CHIH-CHUN;CHEN, TIEN-YU;WAN, FANG-JUNG;HUANG, YU-CHIEH;TZENG, NIAN-SHENG",2021,0
"3854","ATKIN, MAX R.;ZOHREN, STEFAN",2015,5
"3855","MILLER, RM;LANGMORE, SE",1994,15
"3856","ZHU, YINYAN;YE, BIYING;LI, QIANG;LIU, HAO;MIAO, TIAN;WU, LIJUN;LI, LEI;LIN, LINFANG;ZHU, YI;ZHANG, ZHE;SHI, QIAN;YANG, YULONG;DU, KAI;BAI, YU;YU, YANG;GUO, HANGWEN;WANG, WENBIN;XU, XIAOSHAN;WU, XIAOSHAN;ZHONG, ZHICHENG;DONG, SHUAI;ZHU, YIMEI;DAGOTTO, ELBIO;YIN, LIFENG;SHEN, JIAN",2020,4
"3857","ELSON, JOANNA L.;LIGHTOWLERS, ROBERT N.",2006,42
"3858","HUANG, DM;CHANDLER, D",2000,100
"3859","MARKOWITSCH, HJ",1995,207
"3860","BAILEY, F. AMOS;WILLIAMS, BEVERLY R.;WOODBY, LESA L.;GOODE, PATRICIA S.;REDDEN, DAVID T.;HOUSTON, THOMAS K.;GRANSTAFF, U. SHANETTE;JOHNSON, THEODORE M., II;PENNYPACKER, LESLYE C.;HADDOCK, K. SUE;PAINTER, JOHN M.;SPENCER, JESSIE M.;HARTNEY, THOMAS;BURGIO, KATHRYN L.",2014,43
"3861","BRETON-LOPEZ, J;BUELA-CASAL, G",2003,2
"3862","CRACOWSKI, JEAN-LUC;HULOT, JEAN-SEBASTIEN;LAPORTE, SILVY;CHARVERIAT, MATHIEU;ROUSTIT, MATTHIEU;DEPLANQUE, DOMINIQUE;GIRODET, PIERRE-OLIVIER",2022,1
"3863","LIN, XIAO YING;WANG, ZHI JIAN;PAN, PENGJU;WU, ZI LIANG;ZHENG, QIANG",2016,23
"3864","RAM, NILAM;GERSTORF, DENIS",2009,274
"3865","STABNIKOV, P. A.;KOROLKOV, I. V.;KRISYUK, V. V.;BAIDINA, I. A.",2013,0
"3866","CRAGUN, RYAN T.;STINESPRING, JOHN;TILLMAN, ANDREW",2019,1
"3867","[ANONYMOUS]",2013,0
"3868","HOWES-MISCHEL, REBECCA",2017,2
"3869","QUAN, GINA M.;TURPEN, CHANDRA;ELBY, ANDREW",2022,0
"3870","MARKO, NICHOLAS F.;WEIL, ROBERT J.",2010,11
"3871","GUKOV, SERGEI;MARTINEC, EMIL;MOORE, GREGORY;STROMINGER, ANDREW",2005,87
"3872","YANG, BAIYIN;WANG, YINGCHUN;DREWRY, ANNE WANG",2009,18
"3873","VIVYAN, SALLY",2021,0
"3874","TIWARY, ANUP KUMAR;KUMAR, PIYUSH;AGRAWAL, SAURABH",2017,1
"3875","AN, SUNGTAE;GAZI, ASIM H.;INAN, OMER T.",2022,0
"3876","MAYER, CLAUDE-HELENE;VIVIERS, RIAN",2014,5
"3877","DE OLIVEIRA, NATALIA CRISTINA;PORTES, LESLIE ANDREWS;PETTERSSON, HENRIK;ALEXANDERSON, HELENE;BOSTROM, CARINA",2017,26
"3878","CAO, YIQIAN (KATHERINE)",2013,17
"3879","JOZANC, NIKOLINA",2015,1
"3880","HARDY, SAM;SCHWENDIKE, JULIANE;SMITH, ROGER K.;SHORT, CHRIS J.;REEDER, MICHAEL J.;BIRCH, CATHRYN E.",2021,2
"3881","DOWDING, KEITH",2017,3
"3882","LIM, FEI VICTOR;NGUYEN, THI THU HA",2022,3
"3883","ENDICOTT, J;PATANE, A;IBANEZ, J;EAVES, L;BISSIRI, M;HOPKINSON, M;AIREY, R;HILL, G",2003,53
"3884","POLITI, PAOLO;PINI, MARIA GLORIA",2009,12
"3885","DIALLO, S. O.;AZUAH, R. T.;ABERNATHY, D. L.;ROTA, R.;BORONAT, J.;GLYDE, H. R.",2012,18
"3886","GIES, H;HAMMERLING, J",2005,4
"3887","CAMPERO, MARIO;CAMPERO, SEBASTIAN;GUERRERO, JULIA;AOUBA, ACHILLE;CASTRO, ALEX",2016,5
"3888","DETTLING, SAMUEL D.;MORSCHER, MELANIE A.;MASIN, JEFFREY S.;ADAMCZYK, MARK J.",2013,16
"3889","ROBINSON, LIANNE;PLATT, BETTINA;RIEDEL, GERNOT",2011,86
"3890","SINGER, JOHN N.;MAY, REUBEN A. BUFORD",2011,20
"3891","SEN, SEYHAN;BARLAS, GULSEN;YAKISTIRAN, SELCUK;DERIN, ILKNUR G.;SERIFI, BERNA A.;OZLU, AHMET;BRAECKMAN, LUTGART;VAN DER LAAN, GERT;VAN DIJK, FRANK",2019,3
"3892","MYLLARNIEMI, VARVANA;SAVOLAINEN, JUHA;RAATIKAINEN, MIKKO;MANNISTO, TOMI",2016,5
"3893","SINGH, ARUN D.;TUBBS, RAYMOND;BISCOTTI, CHARLES;SCHOENFIELD, LYNN;TRIZZOI, PIERRE",2009,23
"3894","HYER, NANCY LEA;WEMMERLOEV, URBAN;MORRIS, JOHN A., JR.",2009,69
"3895","RATNASAMY, CHRISTOPHER;IDRISS, SALIM F.;CARBONI, MICHAEL P.;KANTER, RONALD J.",2009,3
"3896","YU, VL",2000,18
"3897","OLVER, MARK E.;STOCKDALE, KEIRA C.;NEUMANN, CRAIG S.;HARE, ROBERT D.;MOKROS, ANDREAS;BASKIN-SOMMERS, ARIELLE;BRAND, EDDY;FOLINO, JORGE;GACONO, CARL;GRAY, NICOLA S.;KIEHL, KENT;KNIGHT, RAYMOND;LEON-MAYER, ELIZABETH;LOGAN, MATT;MELOY, J. REID;ROY, SANDEEP;SALEKIN, RANDALL T.;SNOWDEN, ROBERT;THOMSON, NICHOLAS;TILLEM, SCOTT;VITACCO, MICHAEL;YOON, DAHLNYM",2020,17
"3898","SCHRECK, CORNELIA M.;WEILBACH, J. THERON;REITSMA, GERDA M.",2020,10
"3899","KARUNARATNE, KANISHKA;IHALAGAMA, HIMALI;ROHITHA, SAMAN;MOLIJN, ANCO;GOPALA, KUSUMA;SCHMIDT, JOHANNES E.;CHEN, JING;DATTA, SANJOY;MEHTA, SHAILESH",2014,5
"3900","COLBERT, S.;SOUTHORN, B.;ROSENBAUM, G.;ALDRIDGE, T.;BRENNAN, P. A.",2012,1
"3901","ELINAV, HILA;HERSHKO-KLEMENT, ANAT;VALINSKY, LEA;JAFFE, JOSEF;WISEMAN, ANAT;SHIMON, HILA;BRAUN, EYAL;PAITAN, YOSSI;BLOCK, COLIN;SOREK, ROTEM;NIR-PAZ, RAN",2014,37
"3902","FREDRIKSSON, ANNA;MALM, ANNA;MADSEN, ERIK SKOV",2019,8
"3903","TOMLJENOVIC, LUCIJA;SPINOSA, JEAN PIERRE;SHAW, CHRISTOPHER A.",2013,21
"3904","SHATARA, MARGARET;SCHIEFFER, KATHLEEN M.;KLAWINSKI, DARREN;THOMAS, DIANA L.;PIERSON, CHRISTOPHER R.;SRIBNICK, ERIC A.;JONES, JEREMY;RODRIGUEZ, DIANA P.;DEEG, CAROL;HAMELBERG, ELIZABETH;LAHAYE, STEPHANIE;MILLER, KATHERINE E.;FITCH, JAMES;KELLY, BENJAMIN;LERAAS, KRISTEN;PFAU, RUTHANN;WHITE, PETER;MAGRINI, VINCENT;WILSON, RICHARD K.;MARDIS, ELAINE R.;ABDELBAKI, MOHAMED S.;FINLAY, JONATHAN L.;BOUE, DANIEL R.;COTTRELL, CATHERINE E.;GHASEMI, DAVID R.;PAJTLER, KRISTIAN W.;OSORIO, DIANA S.",2021,2
"3905","KOHLER, STEFAN;MARTIN, CHRIS B.",2020,7
"3906","OSTRANDER, ELAINE A.;BEALE, HOLLY C.",2012,7
"3907","GRENZFURTNER, WOLFGANG;GRONALT, MANFRED",2021,5
"3908","RODRIGUEZ, LEONEL;ROSEN, RACHEL;MANFREDI, MICHAEL;NURKO, SAMUEL",2012,29
"3909","RAGLAND, R;MOUKOKO, D;EZAKI, M;CARTER, PR;MILLS, J",2005,56
"3910","WANG, GREG G.;DOTY, D. HAROLD",NA,0
"3911","DORIN, RYAN;JACKSON, MAX;CUSANO, ANTONIO;HADDOCK, PETER;KIZILOZ, HALIL;MERANEY, ANOOP;SHICHMAN, STEVEN",2014,14
"3912","LAUMER, SVEN;ECKHARDT, ANDREAS;WEITZEL, TIM",2010,21
"3913","MAJAVA, JUKKA;HAAPASALO, HARRI;AALTONEN, KIRSI",2019,5
"3914","RADCLIFFE, JAMES;HEATH, GEOFFREY",2009,7
"3915","BERGQVIST, D;LINDBLAD, B;MATZSCH, T",1992,89
"3916","TRIEB, CAROLIN-ANNA",2016,1
"3917","MOSSINKOFF, MARCO R. H.;STOCKERT, ANDREAS M.",2008,1
"3918","SAMATAVICIUS, NARIMANTAS EVALDAS;SMOLSKAS, EDGARAS;MIKELIS, KIPRAS;SAMALAVICIUS, ROBERTAS",2016,3
"3919","SPERFELD, AD;HEIN, C;SCHRODER, JM;LUDOLPH, AC;HANEMANN, CO",2002,70
"3920","SEDRAK, MARK;SABELMAN, ERIC;PEZESHKIAN, PATRICK;DUNCAN, JOHN;BERNSTEIN, IVAN;BRUCE, DIANA;TSE, VICTOR;KHANDHAR, SUKETU;CALL, ELENA;HEIT, GARY;ALAMINOS-BOUZA, ARMANDO",2020,6
"3921","ANDREASSON, K.;SAXNE, T.;BERGKNUT, C.;HESSELSTRAND, R.;ENGLUND, M.",2014,69
"3922","WEI, CORIE W.;MONTANERA, WALTER;SELCHEN, DANIEL;LIAN, JACKIE;STEVENS, CHRISTOPHER;DE TILLY, LYNE NOEL",2010,28
"3923","LADOPOULOS, THEODOROS;ZAND, RAMIN;SHAHJOUEI, SHIMA;CHANG, JASON J.;MOTTE, JEREMIAS;CHARLES JAMES, JEYANTHAN;KATSANOS, ARISTEIDIS H.;KERRO, ALI;FARAHMAND, GHASEM;VAGHEFI FAR, ALALEH;RAHIMIAN, NASRIN;EBRAHIMZADEH, SEYED AMIR;ABEDI, VIDA;PAPATHANASIOU, MATILDA;LABEDI, ADNAN;SCHNEIDER, RUTH;LUKAS, CARSTEN;TSIODRAS, SOTIRIOS;TSIVGOULIS, GEORGIOS;KROGIAS, CHRISTOS",2021,21
"3924","PANEGYRES, P. K.;EDIS, R.;BEAMAN, M.;FALLON, M.",2006,50
"3925","BUTLER, PB",1998,39
"3926","SALLOUM, RALPH;FOX, COURTNEY E.;ALVAREZ-ALLENDE, CARLOS R.;HAMMILL, ADRIENNE M.;DASGUPTA, ROSHNI;DICKIE, BELINDA H.;MOBBERLEY-SCHUMAN, PAULA;WENTZEL, MARY SUE;CHUTE, CAROL;KAUL, AJAY;PATEL, MANISH;MERROW, JR. ARNOLD C.;GUPTA, ANITA;WHITWORTH, JOHN R.;ADAMS, DENISE M.",2016,52
"3927","DI RIENZO, ALESSANDRO;COLASANTI, ROBERTO;CARRASSI, ERIKA;IACOANGELI, MAURIZIO",NA,0
